Reference, Quantity, Value, Footprint, Datasheet, MPN, Manuf, VPN, Vendor
C1 C3 C6 C8 C9 ,5,"100n","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1049_GOLDMAX_C0G.pdf","C315C103K5R5TA","KEMET","C315C103K5R5TA","TME"
C2 C4 ,2,"22p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","https://content.kemet.com/datasheets/KEM_C1049_GOLDMAX_C0G.pdf","C315C229D2G5TA","KEMET","C315C229D2G5TA","TME"
C5 C7 C10 C11 C12 C13 ,6,"1Âµ","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","https://www.nichicon.co.jp/english/products/pdfs/e-ups.pdf","UPS2D010MED","NICHICON","UPS2D010MED","TME"
D1 ,1,"LED","LED_THT:LED_D5.0mm","https://www.vishay.com/docs/83012/tlhg540.pdf","TLHY5400-AS12Z","VISHAY","TLHY5400-AS12Z","TME"
D2 ,1,"1N4007","Diode_THT:D_DO-15_P12.70mm_Horizontal","https://www.vishay.com/docs/88503/1n4001.pdf","1N4007-E3/54","VISHAY","1N4007-E3/54","TME"
J1 ,1,"AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/67996.pdf","67996-206HLF","AMPHENOL","67996-206HLF","TME"
J2 J3 ,2,"Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","https://www.molex.com/webdocs/datasheets/pdf/en-us/0901200763_PCB_HEADERS.pdf","90120-0763","MOLEX","MX-90120-0763","TME"
J4 J5 J6 ,3,"Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","https://www.molex.com/webdocs/datasheets/pdf/en-us/0901200762_PCB_HEADERS.pdf","90120-0762","MOLEX","MX-90120-0762","TME"
R1 ,1,"2K2","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","https://www.tme.eu/Document/438bd25d6e61fdb2be01c567fad4b7c7/VISHAY_mbxsma.pdf","MBA02040C2201FCT00","VISHAY","MBA02040C2201FCT00","TME"
R2 R3 R4 R5 ,4,"390R","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal","https://www.tme.eu/Document/438bd25d6e61fdb2be01c567fad4b7c7/VISHAY_mbxsma.pdf","MBA02040C3900FC100 ","VISHAY","MBA02040C3900FC100 ","TME"
SW1 ,1,"BD09AV","Foodprint:BD09AV","https://www.tme.eu/Document/c61a0c6c0d86858ea1d40377c71c4c58/BDseries.pdf","BD09AV","C&K","BD09AV","TME"
U1 ,1,"ATtiny1634","Housings_SOIC:SOIC-20W_7.5x12.8mm_Pitch1.27mm","https://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8303-8-bit-AVR-Microcontroller-tinyAVR-ATtiny1634_Datasheet.pdf","ATTINY1634-SU","MICROCHIP","ATTINY1634-SU","TME"
U2 ,1,"485","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","https://www.ti.com/lit/ds/symlink/sn75176b.pdf","SN75176BP","TEXAS INSTRUMENTS ","SN75176","TME"
U3 ,1,"6N137","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","http://www.vishay.com/docs/84732/6n137.pdf","6N137","VISHAY","6N137-VIS","TME"
U4 ,1,"REE-0505S","Foodprint:RECOM-REE-0505S","https://recom-power.com/pdf/Econoline/REE.pdf","REE-0505S","RECOM","REE-0505S","TME"
U5 ,1,"7805","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.st.com/resource/en/datasheet/l78.pdf","L7805ABP","STMicroelectronics","L7805ABP","TME"
U6 ,1,"232","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","https://www.ti.com/lit/ds/symlink/max232.pdf","MAX232N","TEXAS INSTRUMENTS ","MAX232N","TME"
Y1 ,1,"12MHz","Crystal:Crystal_HC49-4H_Vertical","https://www.iqdfrequencyproducts.com/products/pn/LFXTAL003215Bulk.pdf","LF XTAL003215","IQD","12.00M-HC49SR","TME"
BOX ,1,"Z-57JH",,"https://www.kradex.com.pl/products/900/Z57.pdf","Z57JH ABS","KRADEX","Z-57JH-ABS","TME"
CON1 ,1,"DMXM",,"https://www.neutrik.com/de/produkt/nc3mp.pdf","NC3MP","NEUTRIK","NTR-NC3MP","TME"
CON2 ,3,"PMX",,"https://www.neutrik.com/de/produkt/nc3fp-1.pdf","NC3FP-B-1","NEUTRIK","NTR-NC3FP-B-1","TME"
CON3 ,4,"HEADER",,"https://ninigi.com/gb/en/product/nsr-03/pdf/41","NSR-03","NINIGI","NSR-03","TME"
CON4 ,12,"HEADER",,"https://ninigi.com/gb/en/product/ndr-t/pdf/41","NDR-T","NINIGI","NDR-T","TME"